Authors,Source,Title,Year,Ni (at.%),Ti (at.%),ev/a (Number of Valence Electrons),composition,Hf (at.%)
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,42.5,42.3,6.55,Ni42.5Ti42.3Hf15.2 %,15.2
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,42.5,52.6,6.55,Ni42.5Ti52.6Hf4.9 %,4.9
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,42.5,50.6,6.55,Ni42.5Ti50.6Hf6.9 %,6.9
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,42.5,46.9,6.55,Ni42.5Ti46.9Hf10.6 %,10.6
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,42.5,44.7,6.55,Ni42.5Ti44.7Hf12.8 %,12.8
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,42.5,42.4,6.55,Ni42.5Ti42.4Hf15.1 %,15.1
M. Zarinejad; Y. Liu and T. J. White,Intermetallics,The crystal chemistry of martensite in NiTiHf shape memory alloys,2008.0,42.5,42.5,6.55,Ni42.5Ti42.5Hf15.0 %,15.0
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,42.7,39.9,6.562,Ni42.7Ti39.9Hf17.4 %,17.4
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,43.0,42.0,6.58,Ni43.0Ti42.0Hf15.0 %,15.0
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,43.1,40.6,6.586,Ni43.1Ti40.6Hf16.3 %,16.3
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,43.3,38.1,6.598,Ni43.3Ti38.1Hf18.6 %,18.6
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,43.6,38.8,6.616,Ni43.6Ti38.8Hf17.6 %,17.6
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,44.0,49.0,6.64,Ni44.0Ti49.0Hf7.0 %,7.0
Y. Tong; Y. Liu and J. Miao,Thin Solid Films,Phase transformation in NiTiHf shape memory alloy thin films,2008.0,45.0,32.0,6.7,Ni45.0Ti32.0Hf23.0 %,23.0
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,51.3,6.7,Ni45.0Ti51.3Hf3.7 %,3.7
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,49.2,6.7,Ni45.0Ti49.2Hf5.8 %,5.8
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,48.6,6.7,Ni45.0Ti48.6Hf6.4 %,6.4
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,46.4,6.7,Ni45.0Ti46.4Hf8.6 %,8.6
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,44.4,6.7,Ni45.0Ti44.4Hf10.6 %,10.6
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,41.6,6.7,Ni45.0Ti41.6Hf13.4 %,13.4
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,45.0,39.1,6.7,Ni45.0Ti39.1Hf15.9 %,15.9
S. Sanjabi; S. Sadrnezhaad and Z. Barber,Materials Science and Technology,Sputter alloying of Ni; Ti and Hf for fabrication of high temperature shape memory thin films,2007.0,45.0,40.0,6.7,Ni45.0Ti40.0Hf15.0 %,15.0
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,45.4,36.7,6.724,Ni45.4Ti36.7Hf17.9 %,17.9
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,46.0,39.0,6.76,Ni46.0Ti39.0Hf15.0 %,15.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,46.0,39.0,6.76,Ni46.0Ti39.0Hf15.0 %,15.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High transformation temperature shape memory alloy,1992.0,46.0,44.0,6.76,Ni46.0Ti44.0Hf10.0 %,10.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,46.0,49.0,6.76,Ni46.0Ti49.0Hf5.0 %,5.0
S. Sanjabi; S. Sadrnezhaad and Z. Barber,Materials Science and Technology,Sputter alloying of Ni; Ti and Hf for fabrication of high temperature shape memory thin films,2007.0,46.0,39.0,6.76,Ni46.0Ti39.0Hf15.0 %,15.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,46.0,44.0,6.76,Ni46.0Ti44.0Hf10.0 %,10.0
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,46.1,39.6,6.766,Ni46.1Ti39.6Hf14.3 %,14.3
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.1,28.8,6.766,Ni46.1Ti28.8Hf25.1 %,25.1
P. J. McCluskey; K. Xiao; J. M. Gregoire; D. Dale and J. J. Vlassak,Thermochimica Acta,Application of in-situ nano-scanning calorimetry and X-ray diffraction to characterize Ni–Ti–Hf high-temperature shape memory alloys,2015.0,46.7,34.9,6.802,Ni46.7Ti34.9Hf18.4 %,18.4
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.8,23.3,6.808,Ni46.8Ti23.3Hf29.9 %,29.9
N. Singh; A. Talapatra; A. Junkaew; T. Duong; S. Gibbons; S. Li; H. Thawabi; E. Olivos and R. Arróyave,Computational Materials Science,Effect of ternary additions to structural properties of NiTi alloys,2016.0,46.875,50.0,6.8125,Ni46.875Ti50.0Hf3.125 %,3.125
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,46.9,33.2,6.814,Ni46.9Ti33.2Hf19.9 %,19.9
